CD,Incumbent,Party,Obama 2012,Romney 2012,Obama 2008,McCain 2008
WA-09,"Smith, Adam",(D),68.3,29.6,68.6,29.9
WA-10,"Heck, Denny",(D),56.3,41.1,57.2,41.0
WI-01,"Ryan, Paul",(R),47.4,51.6,50.8,48.1
WI-02,"Pocan, Mark",(D),68.3,30.5,70.1,28.6
WI-03,"Kind, Ron",(D),54.8,43.8,59.4,39.1
WI-04,"Moore, Gwen",(D),75.3,23.8,74.4,24.6
WI-05,"Sensenbrenner, Jim",(R),37.7,61.3,41.8,57.2
WI-06,"Grothman, Glenn",(R),45.8,53.1,49.4,49.3
WI-07,"Duffy, Sean",(R),47.8,50.9,53.2,45.3
WI-08,"Ribble, Reid",(R),47.6,51.3,53.7,45.0
WV-01,"McKinley, David",(R),35.5,62.2,41.5,56.7
WV-02,"Mooney, Alex",(R),38.0,60.0,43.9,54.7
WV-03,"Jenkins, Evan",(R),32.8,65.0,42.3,55.7
WY-AL,"Lummis, Cynthia",(R),27.6,68.2,32.7,65.2
